GEOID,rhat_before,n_nodes,rhat_after,n_weight,n_chain
12009069700,30.597,588,1.622437222645429,2,8
17043841707,9.675,441,1.8679565082110061,2,8
06037542501,9.064,137,2.045664607348294,2,8
48113013725,5.625,695,1.7996434558174146,2,8
17031301702,5.361,284,1.404194488973544,2,8
24009860502,4.224,919,2.2870458274111067,2,8
36081019600,4.165,203,1.478428393205383,2,8
06001410000,4.048,562,2.2094263316522387,2,8
36081069702,3.483,351,1.6060294687237249,2,8
56037970902,2.692,823,1.532590392656406,2,8
42091205906,2.554,1037,3.503543404119959,2,8
26099226102,2.549,499,1.8899042656519396,2,8
55087011700,2.482,369,1.7241395660542607,2,8
36081036700,2.447,206,1.321780218144553,2,8
36061007100,2.392,285,1.4697854025642978,2,8
06019001415,2.386,344,1.6618939774398036,2,8
36005018302,2.347,152,1.2804293213173412,2,8
08123002206,2.293,631,1.86469489178128,2,8
17031730100,2.258,514,1.3450363285929394,2,8
17031560900,2.218,1040,1.5692355124573385,2,8
18089040200,2.215,709,1.382049481932214,2,8
17031071000,2.165,382,1.2541708209122804,2,8
48061014102,2.16,216,1.2739856937108929,2,8
51760020700,2.137,828,1.6562564025984963,2,8
36081001600,2.136,141,1.2206523485172982,2,8
27145000303,2.118,566,1.9734616684414654,2,8
21067004205,2.102,946,2.285684532538804,2,8
36081067100,2.092,293,1.3887468696434524,2,8
36081018402,2.066,209,1.4901918009797237,2,8
30111940001,2.052,1406,1.8860340777921647,2,8
11001008302,2.036,360,1.4056029664390755,2,8
34017002400,2.034,267,1.345643078156512,2,8
27053100700,2.023,873,1.7354848492667787,2,8
17031520400,2.021,607,1.6577354507245217,2,8
36047089400,2.014,160,1.409593778964699,2,8
17031670900,1.99,301,1.686406116374012,2,8
27053101200,1.985,1263,1.4335860381355698,2,8
27123035000,1.982,768,1.461555128081398,2,8
15003009509,1.977,183,1.2043949995996661,2,8
55079185800,1.951,559,1.5110571568430546,2,8
06037291110,1.946,224,1.2934614212517783,2,8
17031260800,1.946,325,1.3414623423356729,2,8
72069180800,1.942,614,1.691568846469147,2,8
36061022000,1.941,167,1.4136164250436303,2,8
27053100800,1.924,904,1.5906827213595802,2,8
06073020813,1.895,1262,2.123545165466245,2,8
55079005700,1.893,706,1.2790139046276139,2,8
17031814600,1.892,669,1.4664247126647532,2,8
36061006800,1.89,205,1.2953391251562634,2,8
26163576001,1.89,505,1.225653774411601,2,8
12073002507,1.887,437,1.7620031143386368,2,8
36047049500,1.88,158,1.3552125565856892,2,8
48215020727,1.865,310,1.690204906020138,2,8
06075026302,1.86,272,1.471292683442152,2,8
26163542100,1.853,883,1.8510299054900954,2,8
29075960100,1.841,1225,1.6684688413618378,2,8
06037207902,1.838,780,1.738196929488255,2,8
26163556800,1.833,962,1.8847274455933312,2,8
22071003307,1.816,149,2.0315631808441648,2,8
36061001402,1.81,172,1.1165768570919619,2,8
36061004700,1.807,266,1.1202740290029485,2,8
13191110202,1.803,426,1.5441246912886202,2,8
55079004200,1.795,689,1.8768984393969177,2,8
55079015800,1.794,473,1.6858751792814557,2,8
51760020600,1.782,783,1.657613893524183,2,8
27053108700,1.776,1002,1.4232482949847571,2,8
37081016010,1.762,448,1.7378109130521422,2,8
17031530200,1.76,1326,1.6020326905037519,2,8
36047013200,1.756,170,1.2762036554756406,2,8
25025070202,1.755,342,1.3817164075433084,2,8
17031660600,1.746,633,1.5090469927765646,2,8
06081604600,1.743,133,1.7315369284494302,2,8
17031834200,1.737,884,1.5667853759934371,2,8
17031062400,1.734,194,1.6357269763760185,2,8
17031460400,1.729,495,1.6603027545213966,2,8
47037018203,1.727,717,1.6200033643448903,2,8
06037670701,1.715,445,1.5116154978649639,2,8
45051030104,1.711,1147,1.9760271491168673,2,8
72031050811,1.705,234,1.3100466748320534,2,8
41051001203,1.7,579,1.5646891023367746,2,8
36047026000,1.685,127,1.3816412368684405,2,8
40121486000,1.684,1090,2.3344111582974314,2,8
21029020501,1.679,190,1.9158138579156752,2,8
17031431302,1.673,436,1.2610415921906608,2,8
12086004403,1.668,500,1.4316984173195244,2,8
06073005302,1.668,722,1.527689893189121,2,8
55079017400,1.666,347,1.2214183596563801,2,8
22045030301,1.654,691,1.9571139984743533,2,8
36047016200,1.645,190,1.1366881368955954,2,8
42011011101,1.641,1455,2.087144062706046,2,8
17031560300,1.633,562,1.3371384308401115,2,8
34017005600,1.627,251,1.404400871339112,2,8
34039032902,1.627,390,1.6605778462384857,2,8
06107001006,1.618,908,1.820337793183249,2,8
17031151100,1.617,612,1.4934622649253233,2,8
17031620300,1.607,819,1.4544402859442673,2,8
01097000802,1.606,145,2.0288567747274304,2,8
17031670400,1.604,305,1.296524437345164,2,8
36081015600,1.601,190,1.5550504449126328,2,8
16001000601,1.597,1120,1.5078003463541443,2,8
41035971500,1.583,671,1.8444852099369555,2,8
17031670100,1.58,264,1.263714411020428,2,8
17031190200,1.576,556,1.4578037941975759,2,8
17031671900,1.566,353,1.152470916771143,2,8
17197881009,1.561,858,2.0004521978046887,2,8
39095007004,1.56,137,1.9401137551238277,2,8
12095016409,1.546,387,2.3114621397703106,2,8
26145000700,1.546,1187,1.473983885629808,2,8
47093005602,1.544,1009,1.907062290327153,2,8
32003005607,1.542,471,2.0793599433435452,2,8
06037272201,1.537,277,1.2920735909572647,2,8
36061011402,1.531,129,1.2117881736057232,2,8
39035114800,1.521,628,1.4733318448458765,2,8
12057011708,1.519,344,1.5854073709955248,2,8
36081004002,1.513,201,1.5007703194836521,2,8
17031040600,1.505,478,1.2563658677655796,2,8
06067001103,1.5,1448,1.5568788376512235,2,8
17031031700,1.496,380,1.442760796077515,2,8
36081141700,1.493,751,2.024601728158642,2,8
51660000207,1.484,1094,2.501920335803245,2,8
53033007302,1.477,600,1.4885317257809336,2,8
17031480200,1.475,341,1.318937719311111,2,8
17031300700,1.471,268,1.203000062126946,2,8
36081013000,1.469,198,1.3372671767122069,2,8
36081011400,1.469,145,1.148851107041028,2,8
33015100402,1.466,420,1.6432645680286568,2,8
39049004302,1.459,519,2.0255527204571213,2,8
27053008100,1.455,601,1.1942932109123985,2,8
06019002800,1.445,445,1.7440584965758883,2,8
01031011203,1.437,724,1.5388479017459844,2,8
12086006608,1.43,1009,2.6025365193901853,2,8
36047052700,1.43,308,1.2305918471440798,2,8
36061007200,1.42,253,1.1390145971811216,2,8
17031491200,1.419,525,1.4604464939815254,2,8
36081018502,1.417,130,1.4450779778998608,2,8
36047112800,1.41,183,1.3742084426988406,2,8
30111001100,1.409,1350,1.624150502696977,2,8
17031640600,1.409,650,1.4691212810124785,2,8
36047006500,1.393,235,1.1648860298725983,2,8
45051060101,1.392,829,1.4249221279821955,2,8
12095017809,1.392,329,1.392696167148841,2,8
17031490902,1.389,1090,1.2723972840919435,2,8
42101036302,1.384,85,1.339266074262522,2,8
39153530402,1.376,532,3.1336786495967153,2,8
53073001202,1.37,1410,1.6703471237391585,2,8
42101036203,1.364,256,1.7979537251843234,2,8
17031460302,1.363,583,1.3498365981648266,2,8
36005026400,1.363,417,1.3727272973069682,2,8
28159950300,1.363,813,1.6969992733234103,2,8
34017016800,1.355,286,2.1011157903116207,2,8
36047026100,1.349,159,1.3441894579660907,2,8
06099003908,1.347,562,1.2055929424130705,2,8
36081051600,1.34,192,1.342989013423816,2,8
38015010400,1.33,1024,1.416213289967375,2,8
36061013100,1.329,215,1.3773757115076548,2,8
15003003504,1.313,299,1.3146866448871806,2,8
56037971000,1.311,387,1.72711089848767,2,8
26081011804,1.306,1201,1.9081285085137227,2,8
55079005300,1.29,633,1.5723853310304945,2,8
36061003001,1.288,175,1.2120857274865255,2,8
34037372600,1.287,938,1.4709099713941427,2,8
33011001600,1.278,853,1.5806661164074,2,8
36081112900,1.275,277,1.6771688777416864,2,8
36061015801,1.272,155,1.619388246765447,2,8
12086007610,1.271,1190,1.4126741568995305,2,8
17051950900,1.251,337,1.8980751850628146,2,8
17031140302,1.244,384,1.553869392272052,2,8
36061016001,1.243,151,1.5900163674117507,2,8
48353950300,1.235,553,1.831237089967073,2,8
51161030803,1.23,785,1.4570754227129157,2,8
06075016601,1.223,206,1.2207157854082202,2,8
36047054900,1.212,258,1.3361110692905451,2,8
27123035500,1.211,448,1.4030613745534375,2,8
17031140602,1.21,354,1.4677252291235408,2,8
26093741602,1.205,637,3.8579768400627255,2,8
36047029400,1.192,175,1.5991404823234787,2,8
42101036202,1.178,223,1.4535581230095718,2,8
26017280600,1.171,1053,1.4382867035648512,2,8
36005023301,1.168,145,1.2479044151041134,2,8
05123960500,1.161,448,2.116884038778319,2,8
26125162100,1.155,493,3.8229568839227874,2,8
51550020300,1.153,336,1.630876548554414,2,8
40143006902,1.131,678,1.5046866156075314,2,8
53033029004,1.128,798,1.3730564002386176,2,8
32031003508,1.112,1356,1.242227422757724,2,8
36061005502,1.111,205,1.1910614292510102,2,8
36047115000,1.042,192,1.658771629514795,2,8
36081071100,1.04,422,1.4072601652837877,2,8
12103022802,1.033,274,1.687203872177452,2,8
36061011203,1.031,111,1.283074014757033,2,8
36061000800,1.025,353,1.3631055127233014,2,8
33017081200,1.025,1431,1.4921512104383354,2,8
48061012617,1.02,713,1.4023320904250252,2,8
48201533200,1.02,606,1.6730521003903756,2,8
47095960200,1.019,552,2.8325362226482675,2,8
27123041400,0.995,874,1.337818316798624,2,8
