,count,mean,std,min,25%,50%,75%,max
uoi_connectivity,242.0,1.4144,0.1188,0.95,1.343,1.4103,1.4917,1.72
uoi_efficiency,242.0,0.9607,0.0333,0.7281,0.9475,0.9693,0.9828,0.9987
uoi_accessibility,242.0,180.0184,108.6855,17.28,101.8578,156.9717,223.3029,676.106
uoi_equity,242.0,0.9011,0.0815,0.5603,0.8489,0.9078,0.967,1.0
circuity_avg,242.0,1.0423,0.0401,1.0013,1.0175,1.0317,1.0554,1.3735
dead_end_frac,242.0,0.187,0.0812,0.0326,0.1315,0.1799,0.2332,0.55
orientation_entropy,242.0,2.5401,0.4854,1.5595,2.1698,2.4596,2.9286,3.5588
n_intersections,242.0,208.5868,223.6222,8.0,94.25,151.0,225.5,1970.0
n_nodes,242.0,277.1653,287.712,20.0,130.5,202.0,311.0,2549.0
reach_gini,242.0,0.0989,0.0815,-0.0,0.033,0.0922,0.1511,0.4397
