rank,GEOID,state,UOI_score,n_ok,n_nodes,link_node_ratio,connected_node_ratio,intersection_density,median_block_length_ft,walking_circuity,pedshed_reach
84395,02105000400,02,0.0052,0,336,1.0089,0.5089,0.0261,1472.477,2.2276,0.0002
84394,02130000102,02,0.0065,0,484,1.0393,0.526,0.0524,831.1385,2.8359,0.0002
84393,21195931800,21,0.0066,0,365,1.0384,0.5271,2.1664,1345.3117,2.6836,0.0003
84392,21195930100,21,0.0087,0,400,1.03,0.5251,2.346,976.0778,2.5235,0.0003
84391,21131920102,21,0.0089,0,481,1.0125,0.5065,2.5739,1056.437,2.4299,0.0003
84390,41033360100,41,0.0093,0,1732,1.0548,0.5502,2.6414,1541.1319,2.4411,0.0002
84389,15009030201,15,0.01,0,223,1.0359,0.5236,2.434,1018.3924,2.2355,0.0002
84388,54033031500,54,0.0102,0,260,1.05,0.5124,3.5042,1272.7657,2.4239,0.0002
84387,21131920200,21,0.0105,0,599,1.0217,0.5146,1.9038,960.2592,2.2385,0.0003
84386,21025920500,21,0.0108,0,286,0.986,0.4835,1.9463,806.6125,2.47,0.0003
84385,41033360900,41,0.0113,0,1145,1.0463,0.537,2.3809,986.5404,2.2998,0.0002
84384,21231920701,21,0.0121,0,349,1.0315,0.5257,1.5025,1337.7231,2.0501,0.0002
84383,21025920800,21,0.0142,0,797,1.0464,0.5419,2.2311,870.2231,2.6205,0.0004
84382,02198000100,02,0.0155,0,1120,1.0554,0.5464,0.1251,2166.7224,1.9846,0.0002
84381,54109003000,54,0.0159,0,347,1.0519,0.551,2.8512,1188.645,2.2726,0.0003
84380,21025920200,21,0.0161,0,429,1.035,0.5296,3.0978,931.3517,2.2505,0.0003
84379,21025920700,21,0.0166,0,491,1.0204,0.5127,2.6801,646.46,2.3247,0.0003
84378,54059957100,54,0.0167,0,510,1.0686,0.5599,2.4938,897.0358,2.4341,0.0003
84377,05027950301,05,0.0177,0,597,1.072,0.5538,2.2082,1499.9442,2.0885,0.0003
84376,23019024500,23,0.0189,0,1375,1.0611,0.556,2.236,1345.1608,2.017,0.0002
84375,41011000103,41,0.019,0,859,1.0116,0.503,4.3671,609.1634,2.5587,0.0003
84374,54075960101,54,0.0191,0,638,1.0439,0.5327,2.6827,681.5748,2.1172,0.0003
84373,21131920300,21,0.0193,0,369,1.0163,0.5111,2.2263,1164.0354,1.9614,0.0003
84372,41033361500,41,0.0195,0,1434,1.0642,0.5516,2.7476,899.5669,2.1307,0.0003
